Company,PEG Ratio,PE Ratio,EPS% Payout,Dividend Yield,ROE,NY% Growth
SRCE,1.92,13.44,30.13,2.24,9.5,5.47
MMM,2.32,22.08,54.89,2.49,30.9,10.03
ABM,3.86,22.76,45.71,2.01,8.3,6.48
AFL,9.33,9.85,24,2.44,17,6.79
APD,2.81,31.78,68.07,2.14,13.8,12.8
MO,2.52,19.54,81.25,4.16,127.9,8.2
AWR,8.47,25.41,54.27,2.14,14.3,5.67
ADM,1.54,13.82,32.65,2.36,11.2,8.53
T,5.86,27.44,157.98,5.76,6.9,2.94
ATO,2.71,18.94,53.42,2.82,12.5,7.24
ADP,2.88,28.84,65.99,2.29,24.6,12.95
BDX,4.23,24.63,41.17,1.67,22.1,19.92
BMS,2.52,19.54,47.26,2.42,15,8.03
BKH,2.49,17.45,56.06,3.21,9.5,6.64
BF-B,3.61,28.5,39.75,1.39,40.3,8
BCR,3.93,44.51,23.4,0.53,15.7,10.43
CWT,4.12,20.6,56.3,2.73,9.3,4.13
CSL,1.52,24.25,26.18,1.08,13.4,14.52
CB,2.71,11.7,26.39,2.26,12.8,1.78
CTAS,1.83,22.55,23.48,1.04,26.2,11.98
CLC,2.18,22.86,27.68,1.21,13.4,10.69
CLX,3.6,25.03,67.12,2.68,317.8,7.07
KO,5.24,25.5,83.02,3.26,21.8,7.58
CL,3.57,29.38,64.41,2.19,146,9.39
CBSH,1.89,16.03,34.09,2.13,11.7,12.84
CTBI,2.66,13.32,48.19,3.62,9.9,5.47
CTWS,3.78,18.92,53.65,2.84,10.4,3.46
ED,5.76,16.44,70.08,4.26,8.7,2.25
DCI,2.54,22.05,38.6,1.75,25.6,12.26
DOV,1.62,14.86,34.41,2.31,30.1,7.3
EV,1.72,19.55,46.95,2.4,49.8,13.53
EMR,2.31,17.97,59.68,3.32,21.6,5.66
ERIE,2.73,27.27,85.13,3.12,22.6,8.56
FRT,5.18,61.08,144.4,2.36,13.1,15.88
BEN,2.7,13.72,16.04,1.17,20.6,9.52
GPC,3.74,20.21,53.36,2.64,20.7,8.11
GRC,1.45,21.7,28.99,1.34,13,2.88
FUL,4.77,44.2,49.48,1.12,5.3,21.3
HCP,8.91,22.27,116.49,5.23,10.9,0.3
HRL,3.48,24.72,43.48,1.76,17.2,6.71
ITW,1.65,20.76,41.45,2,37.3,10.98
JNJ,2.96,17.65,49.12,2.78,28,5.09
KMB,3.93,27.53,90.49,3.29,42.8,8.11
LANC,3.41,27.27,52.72,1.93,12.4,11.27
LEG,1.98,29.74,80,2.69,12.1,14.35
LOW,1.51,27.45,33.95,1.24,24.7,18.87
MKC,3.14,23.02,47.76,2.07,22.8,7.55
MCD,3.25,20.22,70.54,3.49,32.4,7.6
MDT,3.06,25,39.1,1.56,16,1.89
MCY,8.49,17.82,76.23,4.28,9.4,5.96
MGEE,4.78,19.1,48.71,2.55,12.4,4.44
MSEX,7.46,20.14,68.14,3.38,11.2,5
MSA,1.46,21.88,54.39,2.49,15.5,23.24
NFG,1.77,16.99,43.38,2.55,12.5,7.5
NNN,9.54,33.86,138.84,4.1,11.2,5.83
NDSN,1.25,19.59,22,1.12,28.1,14.38
NWN,5.55,22.2,85.65,3.86,7.7,3.13
NUE,1.37,21.41,67.12,3.13,9.2,53.14
ORI,1.04,10.45,51.75,4.95,15.4,4.98
PH,1.59,16.38,34.76,2.12,17.1,8.46
PNR,1.75,19.9,40.51,2.04,6.3,10.88
PEP,3.32,22.45,65.96,2.94,30,8.4
PNY,4.17,20.85,74.58,3.58,10.3,7.42
PPG,2.22,28.77,34.18,1.19,35.7,12.77
PG,3.61,24.1,75.72,3.14,14.1,7.82
STR,4.57,18.5,65.12,3.52,17.9,4.03
RAVN,1.59,23.79,60.47,2.54,11.6,26.37
RLI,1.74,16.96,23.3,1.37,15.2,0.87
RPM,2.23,22.32,48.37,2.17,20.8,19.79
SHW,2.05,32.33,30.45,0.94,62.6,15.01
SIAL,4.48,33.15,22.06,0.67,16.3,5.57
SJW,0.87,12.17,30.71,2.52,15.3,6.91
SON,3.41,19.59,55.17,2.82,14.3,10.29
SWK,1.73,17.79,38.81,2.18,11.1,15.11
SCL,0.93,16.73,28.92,1.73,10.1,14.17
SYY,3.62,25.67,81.63,3.18,16.5,8.49
TROW,1.33,18.2,46.74,2.57,23.2,10.8
TGT,1.78,21.54,54.59,2.53,3.6,9.66
TNC,1.93,24.12,29.52,1.22,18.6,24.78
TMP,1.95,15.56,48.55,3.12,10.6,2.66
TR,3.69,33.25,31.37,0.94,9.3,0
UGI,3.7,22.95,61.03,2.66,9.2,11.94
UBSI,4.89,19.57,66.67,3.41,7.9,5.11
UHT,5.89,14.13,63.82,4.52,29.1,0
VAL,1.41,18.03,25.75,1.43,38.8,13.62
VVC,3.97,21.85,75.25,3.44,10.6,6.38
VFC,2.93,31.64,53.78,1.7,18.3,15.31
GWW,1.85,20.56,37.66,1.83,30.4,10.54
WBA,2.89,39.94,63.68,1.59,9.8,22.49
WMT,3.52,16.48,39.28,2.38,21,5.51
WGL,2.93,19.05,62.5,3.28,11.9,5.35
